AREA_PERIL_ID,PERIL_ID,COVERAGE_TYPE,LAT1,LON1,LAT2,LON2,LAT3,LON3,LAT4,LON4
12225,QEQ,1,18.5375,-72.0958333333,18.5708333333,-72.0958333333,18.5375,-72.0625,18.5708333333,-72.0625
12226,QEQ,1,18.5708333333,-72.0958333333,18.6041666667,-72.0958333333,18.5708333333,-72.0625,18.6041666667,-72.0625
12227,QEQ,1,18.6041666667,-72.0958333333,18.6375,-72.0958333333,18.6041666667,-72.0625,18.6375,-72.0625
12228,QEQ,1,18.6375,-72.0958333333,18.6708333333,-72.0958333333,18.6375,-72.0625,18.6708333333,-72.0625
12229,QEQ,1,18.5041666667,-72.0625,18.5375,-72.0625,18.5041666667,-72.0291666667,18.5375,-72.0291666667
12230,QEQ,1,18.5375,-72.0625,18.5708333333,-72.0625,18.5375,-72.0291666667,18.5708333333,-72.0291666667
12231,QEQ,1,18.5708333333,-72.0625,18.6041666667,-72.0625,18.5708333333,-72.0291666667,18.6041666667,-72.0291666667
12232,QEQ,1,18.6041666667,-72.0625,18.6375,-72.0625,18.6041666667,-72.0291666667,18.6375,-72.0291666667
12233,QEQ,1,18.6375,-72.0625,18.6708333333,-72.0625,18.6375,-72.0291666667,18.6708333333,-72.0291666667
12234,QEQ,1,18.6708333333,-72.0625,18.7041666667,-72.0625,18.6708333333,-72.0291666667,18.7041666667,-72.0291666667
12235,QEQ,1,18.4708333333,-72.0291666667,18.5041666667,-72.0291666667,18.4708333333,-71.9958333333,18.5041666667,-71.9958333333
12236,QEQ,1,18.5041666667,-72.0291666667,18.5375,-72.0291666667,18.5041666667,-71.9958333333,18.5375,-71.9958333333
12237,QEQ,1,18.5375,-72.0291666667,18.5708333333,-72.0291666667,18.5375,-71.9958333333,18.5708333333,-71.9958333333
12238,QEQ,1,18.5708333333,-72.0291666667,18.6041666667,-72.0291666667,18.5708333333,-71.9958333333,18.6041666667,-71.9958333333
12239,QEQ,1,18.6041666667,-72.0291666667,18.6375,-72.0291666667,18.6041666667,-71.9958333333,18.6375,-71.9958333333
12240,QEQ,1,18.6375,-72.0291666667,18.6708333333,-72.0291666667,18.6375,-71.9958333333,18.6708333333,-71.9958333333
12241,QEQ,1,18.6708333333,-72.0291666667,18.7041666667,-72.0291666667,18.6708333333,-71.9958333333,18.7041666667,-71.9958333333
12242,QEQ,1,18.3708333333,-71.9958333333,18.4041666667,-71.9958333333,18.3708333333,-71.9625,18.4041666667,-71.9625
12243,QEQ,1,18.4041666667,-71.9958333333,18.4375,-71.9958333333,18.4041666667,-71.9625,18.4375,-71.9625
12244,QEQ,1,18.4375,-71.9958333333,18.4708333333,-71.9958333333,18.4375,-71.9625,18.4708333333,-71.9625
12245,QEQ,1,18.4708333333,-71.9958333333,18.5041666667,-71.9958333333,18.4708333333,-71.9625,18.5041666667,-71.9625
12246,QEQ,1,18.5041666667,-71.9958333333,18.5375,-71.9958333333,18.5041666667,-71.9625,18.5375,-71.9625
12247,QEQ,1,18.5375,-71.9958333333,18.5708333333,-71.9958333333,18.5375,-71.9625,18.5708333333,-71.9625
12248,QEQ,1,18.5708333333,-71.9958333333,18.6041666667,-71.9958333333,18.5708333333,-71.9625,18.6041666667,-71.9625
12249,QEQ,1,18.6041666667,-71.9958333333,18.6375,-71.9958333333,18.6041666667,-71.9625,18.6375,-71.9625
12250,QEQ,1,18.6375,-71.9958333333,18.6708333333,-71.9958333333,18.6375,-71.9625,18.6708333333,-71.9625
12251,QEQ,1,18.6708333333,-71.9958333333,18.7041666667,-71.9958333333,18.6708333333,-71.9625,18.7041666667,-71.9625
12252,QEQ,1,18.7041666667,-71.9958333333,18.7375,-71.9958333333,18.7041666667,-71.9625,18.7375,-71.9625
12253,QEQ,1,18.3375,-71.9625,18.3708333333,-71.9625,18.3375,-71.9291666667,18.3708333333,-71.9291666667
12254,QEQ,1,18.3708333333,-71.9625,18.4041666667,-71.9625,18.3708333333,-71.9291666667,18.4041666667,-71.9291666667
12255,QEQ,1,18.4041666667,-71.9625,18.4375,-71.9625,18.4041666667,-71.9291666667,18.4375,-71.9291666667
12256,QEQ,1,18.4375,-71.9625,18.4708333333,-71.9625,18.4375,-71.9291666667,18.4708333333,-71.9291666667
12257,QEQ,1,18.4708333333,-71.9625,18.5041666667,-71.9625,18.4708333333,-71.9291666667,18.5041666667,-71.9291666667
12258,QEQ,1,18.5041666667,-71.9625,18.5375,-71.9625,18.5041666667,-71.9291666667,18.5375,-71.9291666667
12259,QEQ,1,18.5375,-71.9625,18.5708333333,-71.9625,18.5375,-71.9291666667,18.5708333333,-71.9291666667
12260,QEQ,1,18.5708333333,-71.9625,18.6041666667,-71.9625,18.5708333333,-71.9291666667,18.6041666667,-71.9291666667
12261,QEQ,1,18.6041666667,-71.9625,18.6375,-71.9625,18.6041666667,-71.9291666667,18.6375,-71.9291666667
12262,QEQ,1,18.6375,-71.9625,18.6708333333,-71.9625,18.6375,-71.9291666667,18.6708333333,-71.9291666667
12263,QEQ,1,18.6708333333,-71.9625,18.7041666667,-71.9625,18.6708333333,-71.9291666667,18.7041666667,-71.9291666667
12264,QEQ,1,18.7041666667,-71.9625,18.7375,-71.9625,18.7041666667,-71.9291666667,18.7375,-71.9291666667
12265,QEQ,1,18.9041666667,-71.9625,18.9375,-71.9625,18.9041666667,-71.9291666667,18.9375,-71.9291666667
12266,QEQ,1,18.9375,-71.9625,18.9708333333,-71.9625,18.9375,-71.9291666667,18.9708333333,-71.9291666667
12267,QEQ,1,18.9708333333,-71.9625,19.0041666667,-71.9625,18.9708333333,-71.9291666667,19.0041666667,-71.9291666667
12268,QEQ,1,18.3375,-71.9291666667,18.3708333333,-71.9291666667,18.3375,-71.8958333333,18.3708333333,-71.8958333333
12269,QEQ,1,18.3708333333,-71.9291666667,18.4041666667,-71.9291666667,18.3708333333,-71.8958333333,18.4041666667,-71.8958333333
12270,QEQ,1,18.4041666667,-71.9291666667,18.4375,-71.9291666667,18.4041666667,-71.8958333333,18.4375,-71.8958333333
12271,QEQ,1,18.4375,-71.9291666667,18.4708333333,-71.9291666667,18.4375,-71.8958333333,18.4708333333,-71.8958333333
12272,QEQ,1,18.4708333333,-71.9291666667,18.5041666667,-71.9291666667,18.4708333333,-71.8958333333,18.5041666667,-71.8958333333
12273,QEQ,1,18.5041666667,-71.9291666667,18.5375,-71.9291666667,18.5041666667,-71.8958333333,18.5375,-71.8958333333
12274,QEQ,1,18.5375,-71.9291666667,18.5708333333,-71.9291666667,18.5375,-71.8958333333,18.5708333333,-71.8958333333
12275,QEQ,1,18.5708333333,-71.9291666667,18.6041666667,-71.9291666667,18.5708333333,-71.8958333333,18.6041666667,-71.8958333333
12276,QEQ,1,18.6041666667,-71.9291666667,18.6375,-71.9291666667,18.6041666667,-71.8958333333,18.6375,-71.8958333333
12277,QEQ,1,18.6375,-71.9291666667,18.6708333333,-71.9291666667,18.6375,-71.8958333333,18.6708333333,-71.8958333333
12278,QEQ,1,18.6708333333,-71.9291666667,18.7041666667,-71.9291666667,18.6708333333,-71.8958333333,18.7041666667,-71.8958333333
12279,QEQ,1,18.7041666667,-71.9291666667,18.7375,-71.9291666667,18.7041666667,-71.8958333333,18.7375,-71.8958333333
12280,QEQ,1,18.8708333333,-71.9291666667,18.9041666667,-71.9291666667,18.8708333333,-71.8958333333,18.9041666667,-71.8958333333
12281,QEQ,1,18.9041666667,-71.9291666667,18.9375,-71.9291666667,18.9041666667,-71.8958333333,18.9375,-71.8958333333
12282,QEQ,1,18.9375,-71.9291666667,18.9708333333,-71.9291666667,18.9375,-71.8958333333,18.9708333333,-71.8958333333
12283,QEQ,1,18.9708333333,-71.9291666667,19.0041666667,-71.9291666667,18.9708333333,-71.8958333333,19.0041666667,-71.8958333333
12284,QEQ,1,19.0041666667,-71.9291666667,19.0375,-71.9291666667,19.0041666667,-71.8958333333,19.0375,-71.8958333333
12285,QEQ,1,18.3041666667,-71.8958333333,18.3375,-71.8958333333,18.3041666667,-71.8625,18.3375,-71.8625
12286,QEQ,1,18.3375,-71.8958333333,18.3708333333,-71.8958333333,18.3375,-71.8625,18.3708333333,-71.8625
12287,QEQ,1,18.3708333333,-71.8958333333,18.4041666667,-71.8958333333,18.3708333333,-71.8625,18.4041666667,-71.8625
12288,QEQ,1,18.4041666667,-71.8958333333,18.4375,-71.8958333333,18.4041666667,-71.8625,18.4375,-71.8625
12289,QEQ,1,18.4375,-71.8958333333,18.4708333333,-71.8958333333,18.4375,-71.8625,18.4708333333,-71.8625
12290,QEQ,1,18.4708333333,-71.8958333333,18.5041666667,-71.8958333333,18.4708333333,-71.8625,18.5041666667,-71.8625
12291,QEQ,1,18.5041666667,-71.8958333333,18.5375,-71.8958333333,18.5041666667,-71.8625,18.5375,-71.8625
12292,QEQ,1,18.5375,-71.8958333333,18.5708333333,-71.8958333333,18.5375,-71.8625,18.5708333333,-71.8625
12293,QEQ,1,18.5708333333,-71.8958333333,18.6041666667,-71.8958333333,18.5708333333,-71.8625,18.6041666667,-71.8625
12294,QEQ,1,18.6041666667,-71.8958333333,18.6375,-71.8958333333,18.6041666667,-71.8625,18.6375,-71.8625
12295,QEQ,1,18.6375,-71.8958333333,18.6708333333,-71.8958333333,18.6375,-71.8625,18.6708333333,-71.8625
12296,QEQ,1,18.6708333333,-71.8958333333,18.7041666667,-71.8958333333,18.6708333333,-71.8625,18.7041666667,-71.8625
12297,QEQ,1,18.7041666667,-71.8958333333,18.7375,-71.8958333333,18.7041666667,-71.8625,18.7375,-71.8625
